# x (au) y (au) [H_ii] npoints = 32 32 q1_range = -100.0 100.0 q2_range = -250.0 250.0 nmodes = 67 index = 0 4 
-100.0 -250.0 5.101831860196347e-07 7.997505289903262e-07 1.7402517801614816e-06 8.290868494888922e-07 1.7965534348045324e-07 1.1044602817290806e-06 -2.347729916448547e-06 1.8741786054162667e-06 5.378267663181084e-08 -3.488028927799361e-06 5.515495280992343e-06 -1.3880803724931026e-07 5.735522572207214e-06 3.560729911067905e-06 -1.2524923986178013e-06 2.2180218528973076e-06 1.0226645093803377e-05 -8.03690456978225e-06 -1.847723872272638e-05 1.0507596119460665e-05 -3.5335007624634925e-05 1.2903781108520246e-05 -2.9423551429239635e-05 1.1272730892706089e-05 9.04999210150973e-06 1.3292267948874068e-05 -1.929472581867317e-06 1.6002187574868344e-05 1.61126696381779e-05 2.3793532564768985e-06 1.7816997935743407e-05 1.9733203159790805e-05 -1.3833964096940032e-05 2.1993495833286312e-05 1.8528460965294794e-05 1.6505859247672273e-05 1.4855311716126075e-05 2.3180422573991876e-05 2.8671933618940997e-05 2.027159910278737e-05 2.5461169441421755e-05 7.068110163767631e-05 6.460658196668625e-07 2.8595555657832307e-05 1.3805040644560696e-05 3.472946982611882e-05 2.1451174943532542e-05 9.96571158528011e-06 1.5249639626210425e-05 3.259561598024097e-05 2.7542254285445566e-05 3.0470903310302776e-05 5.0308805838600974e-05 8.045152528659254e-05 4.0609068535815387e-05 3.0409945289942798e-05 2.5462707721732097e-05 5.245598558464601e-05 -0.0003962105872404223 0.00024353448582218294 0.00019843450078740107 0.00022686401085796266 0.00021060124706702367 0.00023325265345898612 0.0002196903597719809 0.00021392608651763585 0.00022717763397566532 
-100.0 -233.8709677419355 3.926452493989202e-07 5.887641357508953e-07 1.308128441914866e-06 7.761634071129806e-07 3.8959418607684106e-07 1.1999226384441713e-06 -1.294468146490487e-06 2.181981858867243e-06 1.149559025113427e-06 -1.85101966853331e-06 5.203321150460335e-06 7.845442637271465e-07 5.613194554855179e-06 3.998510947174146e-06 6.853645496291222e-07 3.004756553255387e-06 9.493873869024355e-06 -2.630818688204974e-06 -9.255297263549014e-06 1.0528247954053873e-05 -2.121619466404266e-05 1.2461236516228208e-05 -1.9922571848314625e-05 1.119744290049312e-05 9.832961866391064e-06 1.3427346935184884e-05 2.0143734641977907e-06 1.5827108764584195e-05 1.6643383061591883e-05 5.235587039767376e-06 1.817177113379419e-05 1.9705029122607743e-05 -5.8029358252577096e-06 2.1634001511260433e-05 1.9990526560329942e-05 1.8390877868594392e-05 1.7514683324032966e-05 2.459001711555319e-05 2.88408290162551e-05 2.2849540189267962e-05 2.681157716942617e-05 5.6351294932033714e-05 9.706129513331366e-06 2.9503999324326854e-05 1.8484171350661397e-05 3.603981052523745e-05 2.63334166220337e-05 1.764210944610503e-05 2.1225821646780318e-05 3.696784054787234e-05 3.214417120454857e-05 3.509059920966639e-05 4.9933543497772176e-05 7.184298241276927e-05 4.277905451719293e-05 3.560973554816749e-05 3.263913117277709e-05 5.2872550944475566e-05 -0.00026678694888315974 0.00023467101217941263 0.0002001909200771869 0.00022299904183348707 0.00020879508531503835 0.00022807068093756982 0.00021553744716546993 0.00021230262088381673 0.0002240930265110841 
-100.0 -217.74193548387098 2.9930508094858684e-07 4.1645779364874613e-07 9.574952977775455e-07 7.335436904036994e-07 5.569859481271551e-07 1.2722784624648014e-06 -4.3919086690983755e-07 2.4416940209293533e-06 2.000985377737811e-06 -5.045645946009287e-07 4.945636883361856e-06 1.589980663709351e-06 5.517692104747206e-06 4.357932260589241e-06 2.2625466515558305e-06 3.6635833188883756e-06 8.895277236878039e-06 1.7179275941162375e-06 -1.846718488061319e-06 1.0555894064956489e-05 -9.73057222251744e-06 1.209277917619117e-05 -1.1982753168303981e-05 1.1150613579636498e-05 1.048166607457179e-05 1.3550155833511362e-05 5.241776342064351e-06 1.568688486993603e-05 1.7092017019294277e-05 7.659905147902528e-06 1.8458302368816154e-05 1.967681449201709e-05 8.264843613109085e-07 2.1333978059370473e-05 2.1127026028691405e-05 1.9936139579429903e-05 1.9672296272632896e-05 2.5725486817319192e-05 2.896071490460949e-05 2.4879768927422484e-05 2.7890363914225556e-05 4.449307551173955e-05 1.696867986062318e-05 3.031334984996659e-05 2.2394183980675356e-05 3.7058195820907866e-05 3.029059233410449e-05 2.397228018052626e-05 2.6116457638016477e-05 4.041379591257289e-05 3.59402646459217e-05 3.886711583704211e-05 4.9661384854108215e-05 6.482576518468871e-05 4.450540039880013e-05 3.988676880740228e-05 3.846960919934829e-05 5.328770042741307e-05 -0.00015745671350650794 0.00022758868113706432 0.00020178038726377772 0.00021986785824766228 0.00020750473314117847 0.0002238833666425192 0.00021241126185840271 0.00021114957459396572 0.00022152690172569877 
-100.0 -201.61290322580646 2.2713348839270197e-07 2.7897491610678275e-07 6.798411916434121e-07 7.000520241553612e-07 6.866431300029912e-07 1.3243988690370077e-06 2.371573928334449e-07 2.6576518964386453e-06 2.6344196587481974e-06 5.786072770827618e-07 4.736452221961767e-06 2.2856744217056575e-06 5.445958436811918e-06 4.645869784244178e-06 3.5136281430092833e-06 4.206101398310531e-06 8.417234687808667e-06 5.118167602191678e-06 3.9354590496431486e-06 1.0588764395565333e-05 -6.244612655294948e-07 1.1791440230844918e-05 -5.473122112457502e-06 1.1127611984367635e-05 1.100822091715607e-05 1.3659941514931562e-05 7.82386585363385e-06 1.557654655720996e-05 1.7464632766858334e-05 9.68782220846964e-06 1.8682209171608957e-05 1.9648974052053146e-05 6.184261931445501e-06 2.108787976943979e-05 2.197525504884832e-05 2.1170850134540078e-05 2.137519998669761e-05 2.661458894006188e-05 2.9034031481321395e-05 2.642238222842354e-05 2.8723299707231895e-05 3.485766876960101e-05 2.26199870291012e-05 3.102033613261371e-05 2.5597426782685532e-05 3.7822527129240626e-05 3.3416952519365825e-05 2.9076895322381166e-05 3.002868660450683e-05 4.30225672122912e-05 3.9002479602260037e-05 4.188257232126124e-05 4.947722935637832e-05 5.924161855615459e-05 4.583181158420067e-05 4.332819572745738e-05 4.308110534027385e-05 5.3692919576197484e-05 -6.664644042308186e-05 0.000222099287127113 0.00020321211388286574 0.00021739768290260939 0.00020667268478777106 0.00022058474956770512 0.00021019669587273395 0.0002104130816952053 0.00021943453544911312 
-100.0 -185.48387096774195 1.7310127945540034e-07 1.7245891654792093e-07 4.666549674063935e-07 6.745127331621331e-07 7.833782320755162e-07 1.3591549734061977e-06 7.53632103279005e-07 2.834192290230131e-06 3.076219792390162e-06 1.4257669296036395e-06 4.569776908525541e-06 2.879798796726326e-06 5.394936765974876e-06 4.869199451070082e-06 4.473183259836828e-06 4.6439100400407335e-06 8.046125712259037e-06 7.678734661031588e-06 8.278196795467242e-06 1.0625088889271297e-05 6.355817241442524e-06 1.1550250822630037e-05 -2.627054040318194e-07 1.1123807168923604e-05 1.1424742585246187e-05 1.3755950850524517e-05 9.831771800812044e-06 1.5491124492688684e-05 1.7767291559859116e-05 1.1354852849052847e-05 1.8849109072956235e-05 1.9621922586747017e-05 1.0400362353823625e-05 2.089016093327596e-05 2.2572509299274317e-05 2.212421528828009e-05 2.2670443891003956e-05 2.7285080744541052e-05 2.906321894372757e-05 2.7537477003454928e-05 2.933615457984959e-05 2.7196300098421118e-05 2.684632118632845e-05 3.162168707014599e-05 2.8156248004776647e-05 3.8370705866364626e-05 3.580674761741615e-05 3.307662640547073e-05 3.3069647550850294e-05 4.4883239584959724e-05 4.140276106626388e-05 4.421908779117749e-05 4.936597645338267e-05 5.493228748098519e-05 4.680199347696117e-05 4.602116696815356e-05 4.6600583134388454e-05 5.407969393356828e-05 7.2173110545160565e-06 0.00021801462458151746 0.00020449531147010997 0.00021551573860044805 0.00020624143449708351 0.0002180688687069694 0.00020877864123048555 0.0002100392762346599 0.00021777120351107622 
-100.0 -169.35483870967744 1.3417926186078476e-07 9.305320839506145e-08 3.0942546896037147e-07 6.557501422183233e-07 8.520037547160625e-07 1.3794178908179964e-06 1.1292887349665628e-06 2.9756520071396506e-06 3.3527437029070914e-06 2.0641853460472946e-06 4.439620685317724e-06 3.380527047781965e-06 5.3615703071638225e-06 5.034797193998795e-06 5.175786237887237e-06 4.98860849259486e-06 7.76832980067286e-06 9.508462095645973e-06 1.1368456195314594e-05 1.066309748946785e-05 1.1463942332925431e-05 1.1362242093984935e-05 3.7794702337174825e-06 1.1134568187539782e-05 1.1743347269945994e-05 1.383743071136847e-05 1.1336623985501623e-05 1.5425649342654803e-05 1.800605465387165e-05 1.2696511697238118e-05 1.8964619603652412e-05 1.9596074880129624e-05 1.3604751097117513e-05 2.0735275842699218e-05 2.2956084458443306e-05 2.2825440795003965e-05 2.3605077410324748e-05 2.7764719491528097e-05 2.905071748915304e-05 2.8285150163696803e-05 2.975469856348859e-05 2.1260194891006067e-05 2.9833952499868133e-05 3.211413156044618e-05 3.0132995895027065e-05 3.8740633448396586e-05 3.755422806786075e-05 3.60921449636134e-05 3.5346479481641156e-05 4.608489816852927e-05 4.321305403062707e-05 4.595878137562911e-05 4.9312525593903854e-05 5.1739516912995806e-05 4.745965148064316e-05 4.805283318930285e-05 4.915500612052084e-05 5.443950904226183e-05 6.570798161367505e-05 0.0002151464879322295 0.00020563919156115884 0.00021414924814334893 0.00020615347651140698 0.00021622976305420843 0.00020804198995363172 0.0002099742922594735 0.0002164921817412646 
-100.0 -153.2258064516129 1.0733824333296615e-07 3.690120507110992e-08 1.996415401992881e-07 6.425885761181612e-07 8.973321982960024e-07 1.3880587365181958e-06 1.3831827584360628e-06 3.086367852002579e-06 3.490349314543671e-06 2.5211335094992817e-06 4.339993294603714e-06 3.7960324338817477e-06 5.342802275305509e-06 5.149538945961291e-06 5.656011313008467e-06 5.251796004490899e-06 7.570226443496495e-06 1.0716183231044002e-05 1.3393198695088959e-05 1.0701020139549365e-05 1.4953593043443798e-05 1.1220445187347237e-05 6.784378077536795e-06 1.1155264094452152e-05 1.1976151162357759e-05 1.390362796853897e-05 1.240955220960522e-05 1.5375151773392385e-05 1.818698330447088e-05 1.3748313380611626e-05 1.9034358294488548e-05 1.9571845716233717e-05 1.592739363000693e-05 2.0617678789522064e-05 2.3163276204827268e-05 2.3303732409067216e-05 2.422614996943386e-05 2.8081262441787477e-05 2.899896731492595e-05 2.872549862032902e-05 3.000470168955934e-05 1.6800578540160245e-05 3.176915113728509e-05 3.249439850138492e-05 3.159001870152258e-05 3.897021129145689e-05 3.875364431029942e-05 3.824412253061915e-05 3.696632140148054e-05 4.671662810093112e-05 4.450530348804837e-05 4.718377220346256e-05 4.9301776226737205e-05 4.950505180599868e-05 4.784849099880958e-05 4.9510345050722456e-05 5.087133783751227e-05 5.4763850445016835e-05 0.00011039901194179297 0.00021330667161121165 0.00020665296569166648 0.00021322543433342658 0.00020635130507304085 0.0002149614716032512 0.00020787163406417225 0.00021016426381675727 0.00021555274596933842 
-100.0 -137.09677419354838 9.172968985135858e-08 2.6577300707909337e-09 1.3389524973012866e-07 6.32200177554605e-07 9.379412606283876e-07 1.3983482422670086e-06 1.4867234629197434e-06 3.1838946221095606e-06 3.548917268628704e-06 2.8164735653052086e-06 4.268018184984567e-06 4.166675523840005e-06 5.365762866597311e-06 5.196813354503564e-06 5.966389680363632e-06 5.484081432112847e-06 7.550489526755023e-06 1.1386234853974781e-05 1.447835078741745e-05 1.0779215602804036e-05 1.696824527011428e-05 1.1136673359549573e-05 8.852561310524678e-06 1.1194923744913954e-05 1.2160681095500785e-05 1.3978650344044338e-05 1.3194433396286181e-05 1.537877237232111e-05 1.8390861472160838e-05 1.4556884371692476e-05 1.9084778109810812e-05 1.9566729748865213e-05 1.7505083205690157e-05 2.055070541305149e-05 2.3191735453072542e-05 2.3536555818975954e-05 2.450717980205826e-05 2.8274418620529917e-05 2.8851157259660506e-05 2.8744885390672e-05 3.0070355116367846e-05 1.35265790654458e-05 3.2421834251793454e-05 3.264919850225811e-05 3.255697041999113e-05 3.9254459816294524e-05 3.942425086737052e-05 3.951496120259678e-05 3.777476745282772e-05 4.6719911401782736e-05 4.531991187169526e-05 4.7936740208349445e-05 4.919451004560654e-05 4.860279771351381e-05 4.79540652437468e-05 5.0441106938483215e-05 5.179999057576136e-05 5.497005326589739e-05 0.00014187758842395588 0.00021204422006198512 0.0002074278385837189 0.00021250119834163807 0.00020653908319190025 0.00021405438152770513 0.00020792167405239443 0.0002103867779915321 0.00021471768932288416 
-100.0 -120.96774193548387 8.000511978940645e-08 -1.7579717243954682e-08 1.0042078742778588e-07 6.217284257830875e-07 9.653387003816969e-07 1.4050643718168154e-06 1.467576514843541e-06 3.253326018237596e-06 3.4551616307431133e-06 2.9675948067545507e-06 4.210791338855958e-06 4.473396370948172e-06 5.400132252714699e-06 5.194168381765411e-06 6.155372344966062e-06 5.67033248468904e-06 7.562867557016762e-06 1.1649590979646086e-05 1.4854073967616913e-05 1.08454273205852e-05 1.783751748957874e-05 1.1081959668420507e-05 1.010419417637032e-05 1.1236935178833964e-05 1.229396518804378e-05 1.4034408532735027e-05 1.3628545491840133e-05 1.5387066996803227e-05 1.8559058225285104e-05 1.514625106751163e-05 1.911076890390774e-05 1.9551273755571634e-05 1.8429372034948207e-05 2.050096146667938e-05 2.2975064765101447e-05 2.3614440590617526e-05 2.4584299223554822e-05 2.8211916194912802e-05 2.8669579176805033e-05 2.8451075383912602e-05 3.005124503869127e-05 1.1043267035940807e-05 3.189787298127556e-05 3.2686371229324426e-05 3.315983678083119e-05 3.923266997795878e-05 3.9721967361739427e-05 4.000962786108172e-05 3.795021204893836e-05 4.624664489966097e-05 4.5774673130658254e-05 4.8186524504808945e-05 4.89888193868821e-05 4.826778602980006e-05 4.786088776666855e-05 5.099245321874636e-05 5.201403839631387e-05 5.514521704150815e-05 0.00016181696388109585 0.00021161268414182557 0.00020816802178714045 0.00021214704394594106 0.00020684091882816743 0.0002135071206871835 0.00020826397978934946 0.00021077448956646023 0.0002141500640088198 
-100.0 -104.83870967741936 6.678236637825684e-08 -3.2122638537697534e-08 7.232718842127075e-08 6.210853800591407e-07 9.432536820364557e-07 1.3763629032942265e-06 1.5573344517869318e-06 3.271694496239978e-06 3.261685611077583e-06 3.0558862327466653e-06 4.160364057764154e-06 4.621022224005763e-06 5.349166430053167e-06 5.241171967847254e-06 6.145284884055136e-06 5.6851145337749344e-06 7.303830154528132e-06 1.169106624476861e-05 1.4919113538201956e-05 1.0790494835256958e-05 1.820138938966981e-05 1.1000503004934135e-05 1.0836575374293677e-05 1.123360879219568e-05 1.2294491702188705e-05 1.4002164613986856e-05 1.3685272296242773e-05 1.5266881265411373e-05 1.8460479196768166e-05 1.5520156256393472e-05 1.9038088889495038e-05 1.9500006579910797e-05 1.8869603639228756e-05 2.0424579178939515e-05 2.2935619755040056e-05 2.3699742676804154e-05 2.4690188248210452e-05 2.8164720190203816e-05 2.8628646708408868e-05 2.8648555001994233e-05 3.003406554705627e-05 9.57853226283409e-06 3.2533051235691466e-05 3.2922037904209876e-05 3.349834562818735e-05 3.8937259746372696e-05 3.9985177669187e-05 4.054194758079499e-05 3.872135365918063e-05 4.5976446567729066e-05 4.600679981831849e-05 4.841731908955986e-05 4.924055955370698e-05 4.692697399862679e-05 4.7815139983774317e-05 5.1329268690857564e-05 5.210901723404904e-05 5.5457139992020656e-05 0.00017633701282983292 0.00021225535838471563 0.000209082882762684 0.00021245079405198387 0.000208002113941871 0.0002135148457604952 0.00020954000743774847 0.0002117321930724974 0.00021432918630737824 
